,index,id,target,enzyme,smile,name
0,0,DB00006,P00734,P05164,1|41|79|80|108|117|140|143|173|193|197|242|269|283|294|310|354|376|389|446|488|531|573|623|624|650|667|680|689|708|736|739|745|759|786|807|831|837|849|857|875|894|926|927|935|953|955|983|1017|1019|1028|1057|1066|1088|1104|1107|1110|1118|1141|1152|1171|1199|1287|1290|1313|1325|1380|1393|1422|1433|1440|1451|1480|1482|1530|1534|1544|1564|1575|1602|1616|1618|1624|1688|1715|1719|1737|1750|1754|1755|1778|1785|1823|1844|1847|1849|1873|1876|1897|1898|1911|1917|1959|2001|2006|2016|2020,Bivalirudin
1,1,DB00035,P30518|P37288|P47901,P23219|P35354,1|53|80|115|117|140|143|173|193|197|242|253|301|310|314|354|355|362|389|392|402|435|446|458|531|545|573|623|624|650|667|675|684|689|708|736|739|745|789|807|828|832|837|846|894|926|935|957|983|1004|1019|1028|1034|1066|1088|1104|1114|1152|1171|1199|1313|1325|1380|1393|1440|1451|1456|1480|1490|1502|1527|1535|1564|1575|1583|1602|1618|1621|1640|1650|1689|1738|1750|1754|1778|1791|1822|1828|1865|1873|1876|1898|1911|1917|1923|1938,Desmopressin
2,2,DB00091,P49069|Q96LZ3|P62937|P30405,P20815|P08684|P33261|P10635,1|5|19|38|47|80|101|115|126|132|186|208|219|227|250|253|269|283|294|296|301|314|335|370|476|552|650|656|675|694|725|743|749|798|807|826|844|878|893|919|926|934|935|1019|1034|1057|1114|1118|1139|1145|1157|1190|1222|1309|1356|1373|1380|1454|1495|1506|1516|1564|1613|1620|1662|1689|1693|1709|1718|1785|1831|1847|1946|2008,Cyclosporine
3,3,DB00115,Q99707|P22033|Q9UBK8|Q8IVH4|Q9Y4U1|P42898,Q96EY8|Q05599,1|35|41|45|49|75|80|84|106|140|188|192|194|197|218|222|277|283|285|295|299|345|370|378|468|481|486|545|546|563|577|580|602|606|607|610|615|643|650|656|674|679|691|695|715|734|774|790|795|807|829|832|846|875|901|925|927|929|932|935|952|986|987|1000|1004|1018|1019|1024|1033|1056|1057|1060|1093|1097|1099|1105|1152|1154|1171|1176|1206|1222|1239|1257|1273|1274|1380|1384|1391|1435|1438|1452|1453|1487|1508|1516|1533|1534|1564|1589|1608|1617|1640|1681|1691|1714|1722|1737|1742|1755|1764|1785|1800|1827|1837|1839|1846|1870|1873|1898|1917|1921|1944|1950|1990|2016|2023|2025,Cyanocobalamin
4,4,DB00118,Q14749|P17707|P31153|P35520|Q00266|P21964|Q8N1G2|Q9HBK9,P05181|P19623,1|75|80|194|209|348|362|378|454|457|489|577|610|620|640|650|656|715|739|766|786|807|918|932|933|935|962|1019|1033|1057|1095|1099|1171|1176|1226|1253|1257|1380|1381|1452|1457|1459|1487|1543|1572|1582|1638|1696|1715|1724|1788|1810|1844|1849|1873|1917|1921,Ademetionine
5,5,DB00122,Q9Y5K3|P22303|P49585|O14939|P06276|Q13393|Q8TCT1|P36544,Q9Y6K0|Q9Y259|P28329|P35790|Q8NE62,80|222|319|379|414|473|606|628|807|913|1057|1360,Choline
6,6,DB00126,Q54873|P24300|O00469|O14832|O60568|O75936|P09172|P19021|Q32P28|Q8IVL5|Q8IVL6|P13674|Q8N543|Q6N063|Q6NS38|Q96Q83|Q9BY66|Q02809|Q9NVH6|Q9NXG6|Q9GZT9|Q96KS0|Q9H6Z9,Q16881,1|80|222|227|314|423|482|486|516|532|650|656|750|794|807|971|1019|1088|1096|1380|1389|1602|1699|1883|2022,Ascorbicacid
7,7,DB00127,P52788|Q9NWM0|P11926|P41180|P08588|P07550,P47989|P21673|Q96F10,80|592|667|771|981|1004|1152|1171|1322|1517|1801|1840|1911,Spermine
8,8,DB00134,Q9UBK8|Q99707|P50579|Q93088|Q9H2M3,P15104|P42898|P31153|Q9Y3D2|Q00266|Q9NZV6|Q9UJ68|P56192|Q96GW9|Q9NZL9|Q9H2M3,1|11|80|116|389|394|650|739|786|807|1021|1057|1171|1182|1427|1558|1791|1844|1849|1917|1942,Methionine
9,9,DB00136,P11473|P31260,Q07973|P08684,1|8|35|56|80|114|118|137|231|243|283|392|395|444|478|549|590|678|681|694|739|753|807|855|860|890|921|926|1019|1028|1057|1060|1122|1127|1157|1162|1230|1257|1274|1292|1308|1325|1360|1366|1368|1380|1477|1496|1514|1656|1660|1693|1738|1808|1908|1911|1950,Calcitriol
10,10,DB00139,Q9BXA5|P51649,Q99643|P31040|Q96I99|P13674|O15460|O60568|Q32P28|Q8IVL5|Q8IVL6|P55809|Q12797,80|389|650|807|1256|1287|1564|1737|1917,Succinicacid
11,11,DB00140,Q969G6|P0AFU8|P30043,P21397|P42898,1|45|62|79|80|222|227|260|314|323|378|482|553|650|657|750|802|807|829|831|875|888|935|1018|1057|1062|1097|1114|1262|1273|1298|1380|1391|1393|1394|1722|1723|1730|1745|1773|1855|1873|1915|1922|1932|1990,Riboflavin
12,12,DB00145,O75600|P13196|P22557|P41250|Q12879|Q14032|Q14330|P48637|Q14957|Q53ET4|Q6IB77|P34897|Q8WU03|Q969I3|Q9BYV1|Q9P0Z9|O60391|P23415|P21549|P48167|P34896|O75311|P23416|Q14749|P50440,P48728|P23378|P09622|P23434,27|80|389|650|807|966|981|1171|1737|1917,Glycine
13,13,DB00146,P11473,O15528|Q07973,1|8|35|80|114|137|231|241|243|283|327|392|395|444|478|590|678|694|739|753|807|850|855|890|921|926|1019|1028|1057|1060|1122|1127|1157|1162|1230|1257|1274|1308|1325|1360|1366|1368|1380|1477|1485|1514|1656|1660|1693|1738|1808|1835|1908|1911|1950|2035,Calcifediol
14,14,DB00150,Q9UGM6|P00953|P23381,P48775|P20711|P00953|Q9UGM6|P17752|Q8IWU9|P23381|P14902,1|79|80|119|328|364|389|650|786|806|807|1088|1114|1171|1199|1221|1349|1357|1380|1427|1573|1607|1685|1750|1783|1844|1849|1873|1879|1917|1937|1970,Tryptophan
15,15,DB00152,Q9H3S4,P13584|Q9H3S4|O75356|Q9BU02,26|79|80|179|213|222|284|342|378|457|463|473|675|708|751|762|807|840|1027|1057|1068|1126|1171|1243|1328|1349|1380|1452|1457|1459|1535|1567|1722|1727|1772|1855|1873|1891|1949|2029,Thiamine
16,16,DB00153,P11473|Q06432|Q9Y698|O60359|Q9UBN1|Q9UF02|Q9BXT2|P62955|Q8WXS5|P54289|Q9NY47|Q8IZS8|Q7Z3S7|Q13936|Q01668|O60840|Q13698|Q02641|Q08289|P54284|O00305|Q00975|O00555|Q15878|O43497|O95180|Q9P0X4,Q07973|O15528|Q02318|Q6VVX0|Q96AT9|P05108,1|8|35|137|231|241|243|283|322|327|395|444|470|478|590|678|687|694|807|850|890|921|926|978|1019|1028|1049|1057|1060|1088|1122|1157|1162|1230|1240|1257|1274|1325|1360|1366|1368|1380|1477|1485|1624|1656|1738|1773|1835|1950|2017|2035,Ergocalciferol
17,17,DB00158,P41439|P14207|P15328,Q92820|P42898|P00374,1|62|80|87|117|134|187|191|255|292|314|321|334|343|378|379|389|486|503|650|697|724|736|739|807|843|850|955|1102|1114|1152|1171|1273|1287|1380|1385|1416|1435|1452|1457|1535|1564|1624|1665|1681|1697|1724|1737|1745|1750|1844|1855|1873|1917|1959|2035,Folicacid
18,18,DB00162,Q96NR8|O75911|P47895|Q6NUM9|Q8TC12|Q9BTZ2|Q9HBH5|Q9NYR8|O95237|Q92781|Q8NBN7|O94788|P00352|P05090|P41222,O43174,31|44|55|80|173|222|259|432|444|479|618|694|807|835|926|953|1017|1028|1057|1060|1135|1162|1274|1288|1319|1337|1349|1380|1524|1576|1599|1626|1666|1722|1738|1742|1827|1956|1957,Vitamina
19,19,DB00163,O75469|P05771|P09917|P17252|P23743|P62714|P67775|Q9UDX3|Q9UDX4|O76054,P09210|P09211|P78417|P21266|P48506|P15559|P09601|P00441|P08684,1|80|146|170|202|252|262|283|361|406|543|599|656|672|739|740|741|755|795|807|856|926|1057|1060|1142|1162|1260|1274|1282|1294|1380|1513|1602|1648|1722|1725|1738|1763|1788|1847|1860|1911,Vitamine
20,20,DB00165,O00764,P04798|O00764|Q96GD0|P05186,80|92|156|202|222|246|284|378|409|705|722|807|837|1057|1074|1349|1380|1452|1535|1573|1602|1722|1873|2034,Pyridoxine
21,21,DB00166,Q9Y234|O43766|Q9Y289,P16435,80|226|334|389|650|675|710|789|807|832|894|926|1019|1110|1147|1264|1267|1287|1290|1325|1440|1502|1564|1737|1911|1917|2020,Lipoicacid
22,22,DB00169,P11473,Q6VVX0|Q02318|P51589|P08684|P05108|P04798|P10632,1|8|35|80|137|146|231|241|243|283|327|395|406|444|478|590|678|694|739|753|807|850|890|921|926|1019|1028|1057|1060|1122|1157|1162|1230|1257|1274|1325|1360|1366|1368|1380|1477|1485|1514|1656|1693|1738|1808|1835|1847|1860|1911|1950|2035,Cholecalciferol
23,23,DB00170,P38435|Q9BQB6|Q8N0U8|P00734|P00740|P04070|P07225|P16083|P15559|P02818,P47989|Q06278|P42898|P04798|P05177|P11509,1|84|314|352|650|707|747|859|939|984|1057|1088|1199|1214|1380|1409|1476|1722|1750|1768|1873,Menadione
24,24,DB00173,P07741|P0AF12|O00763|P24666|Q9BY49|P17802|Q8RLY5|P78362|Q5SL87|Q13126|Q05603,P22309,378|379|489|600|713|806|834|862|988|1114|1171|1184|1380|1452|1457|1459|1530|1572|1587|1792|1810|1873,Adenine
25,25,DB00176,P31645|Q12809,P10635|P05177|P04798|P08684|P08684|Q9HB55|P20815|P24462|P11712|P33261|P20813,13|80|114|383|404|427|431|486|695|725|734|751|772|807|809|841|981|1005|1057|1125|1171|1241|1249|1260|1267|1380|1385|1391|1417|1453|1564|1632|1665|1697|1738|1750|1840|1873|1911|1928,Fluvoxamine
26,26,DB00177,P30556,P11712,1|80|222|283|294|310|336|352|378|389|507|591|614|619|650|794|807|881|896|897|981|984|1057|1078|1088|1104|1114|1124|1147|1160|1164|1199|1238|1281|1380|1385|1436|1438|1474|1564|1585|1691|1750|1754|1773|1844|1861|1871|1873|1897|1911|1917|1946|1950|2004,Valsartan
27,27,DB00178,P12821|P46663,P06276,1|80|108|147|153|255|276|283|294|389|500|531|585|650|695|736|739|807|808|926|935|979|989|1019|1028|1045|1057|1063|1066|1075|1088|1121|1152|1163|1169|1199|1238|1243|1292|1325|1380|1394|1431|1452|1500|1583|1597|1689|1722|1750|1754|1818|1873|1917,Ramipril
28,28,DB00180,P04150,P08684,17|32|80|84|222|240|314|403|476|519|547|622|650|656|664|679|703|706|753|781|787|807|849|926|937|967|1009|1019|1057|1060|1070|1120|1186|1223|1257|1274|1285|1292|1380|1436|1489|1612|1664|1679|1700|1730|1794|1810|1831|1873|1917|1928|1929|1934|1938|1984|1997|2015|2021,Flunisolide
29,29,DB00182,Q05940|Q01959|Q16568|Q96RJ0|P23975|P35348|P35368|P25100|P08913|P18089|P18825|P08588|P07550|P13945|P14416|P27338|P31645|P21397|P27338|Q99870,P10635|P11509,1|79|80|283|389|567|786|857|874|1039|1057|1066|1088|1171|1199|1380|1750|1754|1873,Amphetamine
30,30,DB00184,P43681|P36544|P17787|Q15822|P32297|P30532|Q15825|Q9UGM1|Q9GZZ6|Q05901|P30926|P11511|P28329,P11509|P05181|Q16696|P20813|P04798|P05177|P33261|P10632|P11712|P10635|P08684|P21397|P27338,56|231|378|437|446|486|562|749|926|935|1019|1028|1043|1057|1088|1145|1192|1279|1312|1325|1380|1392|1480|1535|1586|1603|1663|1750|1866|1873,Nicotine
31,31,DB00185,P20309|P11229,P10635|P08684|Q01740,98|453|528|602|656|675|852|893|926|935|998|1007|1019|1057|1060|1070|1291|1295|1309|1325|1473|1480|1486|1573|1755|1877|1899,Cevimeline
32,32,DB00186,P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P14867|P47869|P34903|P31644|Q8N1C3|P18507|Q99928,P54855|P08684,7|74|106|117|142|165|216|237|314|352|366|378|561|650|724|807|816|843|875|941|974|984|1019|1032|1034|1060|1088|1114|1199|1223|1257|1356|1380|1399|1536|1683|1750|1873|1982,Lorazepam
33,33,DB00187,P08588,P10635,1|14|80|102|118|126|169|195|227|283|310|322|430|606|650|658|695|718|782|807|841|1028|1045|1057|1090|1152|1243|1380|1386|1445|1452|1564|1574|1750|1754|1873|1917|2030|2038,Esmolol
34,34,DB00188,P28074|P20618,P08684|P33261|P10635|P05177|P11712,1|79|80|117|175|227|271|283|318|378|389|486|552|573|650|680|736|759|807|855|857|948|1057|1066|1071|1074|1088|1110|1125|1152|1199|1282|1342|1380|1435|1452|1535|1565|1586|1603|1616|1750|1754|1792|1847|1866|1873|1917|1921|2006,Bortezomib
35,35,DB00191,P23975|P31645|Q01959|P21397|P27338|P01303,P08684,80|114|389|392|672|675|888|1057|1066|1088|1171|1199|1380|1582|1671|1694|1750|1754|1873,Phentermine
36,36,DB00193,P35372|P23975|P31645|P28335|P41145|P41143|Q693P7|P20309|P11229|P25103|Q99250|Q8NER1|Q05586|Q12879|Q13224|Q14957|O15399|Q8TCU5|O60391|P30542|P08913|P18089|P18825,P10635|P08684|P20813|P22309,80|122|139|150|182|303|322|556|562|652|695|772|781|807|808|834|841|875|881|890|926|948|1019|1028|1039|1057|1060|1088|1106|1154|1162|1163|1325|1380|1536|1628|1638|1750|1873|1898|1972,Tramadol
37,37,DB00194,P04293|P09250|Q9QNF7,P00813,75|80|194|209|222|378|454|489|577|610|656|807|932|935|962|1019|1033|1095|1099|1171|1176|1234|1253|1257|1380|1452|1457|1459|1487|1516|1543|1572|1696|1724|1764|1810|1844|1873|1921,Vidarabine
38,38,DB00195,P08588|P07550,P05177|P10635,1|13|29|80|102|118|169|227|283|310|322|430|606|658|695|718|782|807|859|926|1019|1028|1045|1057|1136|1152|1243|1325|1380|1445|1452|1562|1574|1605|1646|1671|1750|1754|1873|1992|2023|2030|2038,Betaxolol
39,39,DB00196,P10613,P08684|P11712|P33261|P20815,43|80|114|259|378|419|489|548|623|651|699|747|754|807|875|932|935|949|1024|1138|1380|1410|1448|1487|1603|1670|1701|1716|1750|1811|1818|1840|1873|1908|1928,Fluconazole
40,40,DB00197,P37231|O60488|P05121|Q99808|P62508|P11474|Q03181|Q07869|P09211,P08684|P10632|P22309|P33261|P11511|P04798|P20813|P11712|P20815|P24462|P35503|P22310|P19224|Q9HAW7|Q9HAW9|O60656|Q9HAW8|P16662|P54855,80|102|170|202|252|262|310|314|322|358|361|424|458|543|650|656|672|675|695|718|807|856|862|926|987|1019|1034|1057|1060|1065|1114|1162|1260|1274|1276|1282|1294|1380|1384|1408|1443|1452|1456|1513|1602|1644|1648|1722|1725|1738|1750|1754|1788|1840|1873|1920,Troglitazone
41,41,DB00198,P11485|Q99519|Q9Y3R4,P23141,1|80|125|145|147|231|235|245|269|294|339|387|650|654|695|759|786|807|918|926|935|1017|1019|1038|1057|1152|1171|1221|1238|1250|1314|1380|1458|1505|1544|1614|1668|1722|1731|1780|1832|1873|1917,Oseltamivir
42,42,DB00199,O43193|Q12809,P08684|P24462|P20815,42|80|129|140|206|231|248|251|269|278|294|314|349|438|560|611|612|644|649|650|656|679|687|695|722|750|807|841|869|881|886|926|941|960|1019|1054|1057|1060|1154|1162|1163|1173|1176|1217|1257|1266|1274|1292|1303|1309|1313|1323|1341|1366|1380|1381|1395|1427|1450|1454|1487|1491|1509|1546|1629|1635|1679|1763|1779|1783|1788|1885|1921|1950|1991,Erythromycin
43,43,DB00201,P30542|Q07343|P29274|P21817|P54750|Q01064|Q14123|Q9Y233|P27815|Q07343|Q08493|Q08499|Q9NP56|O00408|Q14432|Q13370|O76074|P51160|Q9HCR9|Q13946|O60658|O95263|O76083|P16499|P35913|P78527|O00329|P42336|P42338|Q14643|Q14571|Q14573|Q13315|P29275|P0DMS8|Q01064|Q08499|Q13370|O76074,P05177|P08684|P05181|P10632|P11712|P04798|Q16678|P10635,33|314|378|400|463|504|564|650|771|932|935|1024|1057|1145|1203|1258|1307|1354|1380|1409|1440|1452|1517|1696|1873,Caffeine
44,44,DB00202,Q9GZZ6|Q693P7|P11229|P08172|P20309,P06276,13|80|147|319|414|428|628|650|677|695|807|913|1034|1057|1360|1386|1423|1564|1917,Succinylcholine
